,row,col
*,9,4
する,15,0
いる,0,0
れる,8,4
こと,1,0
の,0,0
なる,15,0
ある,15,0
できる,8,5
よう,15,0
人,0,0
さん,12,0
思う,0,0
ん,0,0
ない,0,0
中,14,1
られる,1,0
日,12,8
年,17,1
自分,1,0
記事,9,4
見る,14,0
みる,14,0
もの,1,0
ため,16,0
映画,0,8
円,10,8
くる,0,0
関連,10,4
しまう,0,0
女性,1,0
言う,0,0
時,0,2
的,15,0
月日,12,8
日本,17,2
使う,8,6
せる,15,0
多い,15,0
いく,16,0
これ,1,1
機能,8,6
歳,12,0
話題,10,4
今回,14,0
対応,8,7
くれる,0,0
いい,0,0
いう,0,0
方,0,0
それ,0,0
行う,9,7
紹介,14,0
場合,8,6
てる,0,0
時間,0,3
万,9,8
さ,6,8
私,0,0
利用,8,6
情報,8,4
写真,7,5
画面,8,6
そう,0,1
更新,8,6
気,0,0
今,0,0
持つ,15,0
発売,11,8
何,0,0
発表,11,8
公開,0,8
搭載,8,7
上,8,4
仕事,0,0
くださる,13,0
名,11,8
男性,1,0
彼,1,0
とき,0,1
ところ,0,0
たち,2,0
おる,9,7
知る,14,0
氏,17,6
表示,8,6
人気,3,8
登場,0,8
必要,8,6
作品,0,8
結婚,1,0
出端,14,0
目,5,5
位,3,6
考える,15,0
やる,0,0
設定,8,6
行く,0,2
月,12,8
後,5,4
以上,9,8
可能,8,6
前,0,1
女子,3,8
感じる,1,2
一,14,0
聞く,0,0
話,0,1
撮影,7,6
監督,0,8
回,13,8
好き,0,1
年月日,12,8
世界,4,8
数,9,8
良い,0,0
声,17,7
製品,9,6
出る,1,2
現在,17,0
しれる,1,0
端末,9,7
年月,12,8
相手,1,0
やすい,7,7
用,9,6
語る,2,2
向け,9,7
男,1,0
動画,8,6
番組,17,6
わかる,1,2
開始,11,8
方法,8,5
夏,10,4
使用,8,6
作る,14,0
入る,1,2
注目,0,8
化,8,7
公式,12,8
彼女,1,0
選ぶ,14,0
高い,8,8
新しい,15,0
購入,10,8
簡単,8,5
女,1,0
度,14,0
笑,0,1
予定,11,8
多く,15,0
手,6,5
者,17,0
東京,13,8
店,12,6
版,9,7
提供,11,8
おく,8,5
強い,3,0
操作,8,6
開催,13,8
韓国,17,3
楽しむ,14,0
もらう,13,0
本作,0,8
あなた,14,0
特集,0,8
価格,10,8
気持ち,1,0
いただく,13,0
映像,0,7
色,7,0
内容,8,4
問題,17,8
続ける,2,0
読む,14,0
演じる,1,8
入れる,14,0
心,2,0
分,9,8
結果,16,0
最大,8,7
ここ,5,4
通,10,4
受ける,17,8
掲示板,17,7
始める,10,4
開発,9,7
放送,16,6
変わる,15,0
他,15,0
以下,10,8
会社,17,0
本体,8,6
状態,7,6
通信,9,7
わけ,0,0
